,TRASH_ADDRESS,TRASH_GEO_X,TRASH_GEO_Y,TRASH_ID,TRASH_VOLUME,TIME_CLEAN_TRASH,TRASH_DATA_CR,REGION,TRASH_FLAG
0,"город Москва, 3-я Рыбинская улица, дом 12",37.658439,55.790979,1,3,10,2022-08-26,1,1
1,"город Москва, 2-я Рыбинская улица, дом 12",37.658411,55.790833,2,3,10,2022-08-26,1,1
2,"город Москва, 3-я Рыбинская улица, дом 1",37.658587,55.791685,3,3,10,2022-08-26,1,1
3,"ород Москва, 3-я Рыбинская улица, дом 30",37.662502,55.788813,7,3,10,2022-08-26,3,1
4,"город Москва, 3-я Рыбинская улица, дом 30",37.66277,55.789069,8,3,10,2022-08-26,3,1
5,"город Москва, 3-я Рыбинская улица, дом 30",37.66262,55.788941,9,3,10,2022-08-26,3,1
