,TRASH_ADDRESS,TRASH_GEO_X,TRASH_GEO_Y,TRASH_ID,TRASH_VOLUME,TIME_CLEAN_TRASH,TRASH_DATA_CR,REGION,TRASH_FLAG
60,"город Москва, Попов проезд, дом 4",37.696942,55.784305,67,3,10,2022-08-26,23,0
61,"город Москва, Попов проезд, дом 1, корпус 1",37.69624,55.784819,68,3,10,2022-08-26,23,0
62,"город Москва, Попов проезд, дом 1, корпус 1",37.6953,55.78479,69,3,10,2022-08-26,23,0
63,"город Москва, Попов проезд, дом 4",37.69715,55.78536,70,3,10,2022-08-26,24,0
64,"город Москва, Попов проезд, дом 4",37.696884,55.785293,71,3,10,2022-08-26,24,0
65,"город Москва, Большой Матросский п/ул, д 1",37.69692,55.78923,72,3,10,2022-08-26,24,0
66,"город Москва, Большой Матросский п/ул, д 1",37.696908,55.789152,73,3,10,2022-08-26,25,0
67,"город Москва, ул Матросская Тишина, д 16",37.69587,55.790177,74,3,10,2022-08-26,25,0
68,"город Москва, ул Матросская Тишина, д 16",37.695801,55.790147,75,3,10,2022-08-26,25,0
69,"город Москва, ул Матросская Тишина, д 19, к 2",37.693877,55.791569,76,3,10,2022-08-26,26,0
70,"город Москва, ул Стромынка, д 15",37.694551,55.794541,77,3,10,2022-08-26,26,0
71,"город Москва, ул Стромынка, д 15",37.694419,55.794486,78,3,10,2022-08-26,26,0
72,"город Москва, ул Стромынка, д 19, к 1",37.697409,55.794797,79,3,10,2022-08-26,27,0
73,"город Москва, ул Стромынка, д 19, к 1",37.697278,55.794957,80,3,10,2022-08-26,27,0
74,"город Москва, ул Стромынка, д 23/16",37.699739,55.79541,81,3,10,2022-08-26,27,0
75,"город Москва, Колодезная ул, д 7, к 6",37.69551,55.796959,82,3,10,2022-08-26,28,0
76,"город Москва, ул Короленко, д 1, к 11",37.691326,55.798018,83,3,10,2022-08-26,28,0
77,"город Москва, ул Олений Вал, д 24, к 3",37.698129,55.79946,84,3,10,2022-08-26,28,0
78,"город Москва, ул Олений Вал, д 24, к 1",37.695382,55.799988,85,3,10,2022-08-26,29,0
79,"город Москва, ул Олений Вал, д 24, к 2",37.697074,55.800365,86,3,10,2022-08-26,29,0
80,"город Москва, ул Олений Вал, д 22",37.693553,55.80016,87,3,10,2022-08-26,29,0
